,STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT21,WT22,WV01
67,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-03-09,0.0,0.0,,,,0.0,0.0,0.0,,38,22,,340.0,,,,,,21.9,,,,,,,,,,,,,,,,,,,,,,,
68,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-03-10,10.0,30.0,,,,0.0,0.0,0.0,,39,22,,290.0,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,
69,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-03-11,10.0,0.0,,,,0.0,0.0,0.0,,44,27,,290.0,,,,,,23.9,,,,,,,,,,,,,,,,,,,,,,,
70,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-03-12,80.0,100.0,,,,0.38,0.0,0.0,,38,33,,280.0,,,,,,16.1,,,,,1.0,,,1.0,,,,1.0,,,,,,1.0,,,,,
71,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-03-13,100.0,100.0,,,,0.06,0.0,0.0,,39,34,,320.0,,,,,,16.1,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,
72,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-03-14,70.0,70.0,,,,0.0,0.0,0.0,,41,30,,280.0,,,,,,21.9,,,,,,,,,,,,,,,,,,,,1.0,,,
73,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-03-15,50.0,50.0,,,,0.0,0.0,0.0,,38,28,,270.0,,,,,,19.9,,,,,,,,,,,,,,,,,,,,,,,
74,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-03-16,30.0,50.0,,,,0.0,0.0,0.0,,36,26,,300.0,,,,,,21.9,,,,,,,,,,,,,,,,,,,,,,,
75,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-03-17,40.0,40.0,,,,0.0,0.0,0.0,,42,28,,240.0,,,,,,19.9,,,,,,,,,,,,,,,,,,,,,,,
76,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-03-18,100.0,100.0,,,,0.46,0.0,0.0,,40,33,,70.0,,,,,,14.1,,,,,1.0,1.0,,,,,,1.0,,,,,,1.0,,1.0,,,
77,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-03-19,70.0,80.0,,,,0.01,0.0,0.0,,50,34,,360.0,,,,,,15.0,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,
78,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-03-20,80.0,100.0,,,,0.45,0.0,0.0,,43,33,,100.0,,,,,,17.0,,,,,1.0,,,1.0,,,,1.0,,,,,,1.0,,,,,
79,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-03-21,80.0,70.0,,,,0.01,0.0,0.0,,51,37,,300.0,,,,,,29.1,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,
80,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-03-22,100.0,100.0,,,,0.37,0.0,0.0,,43,36,,80.0,,,,,,36.0,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,
81,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-03-23,70.0,80.0,,,,0.02,0.0,0.0,,47,39,,270.0,,,,,,23.9,,,,,1.0,,,,,,,,,,,,,1.0,,,,,
82,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-03-24,40.0,60.0,,,,0.0,0.0,0.0,,51,37,,290.0,,,,,,29.1,,,,,,,,,,,,1.0,,,,,,,,,,,
83,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-03-25,50.0,60.0,,,,0.0,0.0,0.0,,53,37,,280.0,,,,,,21.9,,,,,,,,,,,,,,,,,,,,,,,
84,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-03-26,90.0,90.0,,,,0.55,0.0,0.0,,54,42,,210.0,,,,,,30.0,,,,,1.0,,1.0,,,,,1.0,,,,,,1.0,,,,,
85,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-03-27,20.0,30.0,,,,0.05,0.0,0.0,,54,40,,280.0,,,,,,28.0,,,,,,,,,,,,,,,,,,1.0,,,,,
86,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-03-28,50.0,70.0,,,,0.0,0.0,0.0,,48,36,,180.0,,,,,,25.1,,,,,,,,,,,,,,,,,,,,,,,
87,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-03-29,90.0,100.0,,,,1.04,1.6,0.0,,46,27,,10.0,,,,,,25.1,,,,,1.0,,,1.0,,,,1.0,1.0,,,,,1.0,,1.0,,,
88,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-03-30,60.0,50.0,,,,0.0,0.0,1.0,,35,22,,350.0,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,
89,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-03-31,70.0,100.0,,,,0.18,0.8,0.0,,37,32,,360.0,,,,,,21.0,,,,,1.0,,,1.0,,,,1.0,,,,,,1.0,,1.0,,,
90,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-04-01,70.0,70.0,,,,0.01,0.0,0.0,,43,31,,150.0,,,,,,14.1,,,,,,,,,,,,1.0,,,,,,1.0,,,,,
91,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-04-02,90.0,100.0,,,,1.35,0.0,0.0,,54,37,,260.0,,,,,,44.1,,,,,1.0,1.0,1.0,,,,,1.0,,,,,,1.0,,,,,
92,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-04-03,30.0,20.0,,,,0.0,0.0,0.0,,52,41,,280.0,,,,,,40.9,,,,,,,,,,,,,,,,,,,,,,,
93,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-04-04,60.0,70.0,,,,0.0,0.0,0.0,,54,41,,290.0,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,
94,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-04-05,10.0,10.0,,,,0.0,0.0,0.0,,49,38,,320.0,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,
95,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-04-06,70.0,80.0,,,,0.02,0.0,0.0,,45,32,,120.0,,,,,,16.1,,,,,,,,,,,,,,,,,,1.0,,,,,
96,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-04-07,50.0,40.0,,,,0.0,0.0,0.0,,56,36,,330.0,,,,,,21.0,,,,,1.0,,,,,,,,,,,,,,,,,,
97,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-04-08,30.0,20.0,,,,0.0,0.0,0.0,,65,40,,230.0,,,,,,19.9,,,,,,,,,,,,,,,,,,,,,,,
98,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-04-09,60.0,80.0,,,,0.01,0.0,0.0,,70,46,,290.0,,,,,,36.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,
99,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-04-10,30.0,50.0,,,,0.0,0.0,0.0,,56,37,,310.0,,,,,,25.9,,,,,,,,,,,,,,,,,,1.0,,,,,
100,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-04-11,10.0,10.0,,,,0.0,0.0,0.0,,50,33,,290.0,,,,,,25.1,,,,,,,,,,,,,,,,,,,,,,,
101,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-04-12,0.0,0.0,,,,0.0,0.0,0.0,,60,36,,340.0,,,,,,17.9,,,,,,,,,,,,,,,,,,,,,,,
102,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-04-13,10.0,10.0,,,,0.0,0.0,0.0,,56,42,,180.0,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,
103,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-04-14,80.0,100.0,,,,0.08,0.0,0.0,,50,39,,70.0,,,,,,23.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,
104,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-04-15,70.0,90.0,,,,0.32,0.0,0.0,,60,44,,40.0,,,,,,30.0,,,,,,,,,,,,,,,,,,1.0,,,,,
105,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-04-16,20.0,10.0,,,,0.0,0.0,0.0,,60,44,,110.0,,,,,,16.1,,,,,,,,,,,,,,,,,,,,,,,
106,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-04-17,80.0,70.0,,,,0.01,0.0,0.0,,55,43,,180.0,,,,,,17.9,,,,,1.0,,,,,,,,,,,,,1.0,,,,,
107,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-04-18,30.0,20.0,,,,0.0,0.0,0.0,,63,43,,340.0,,,,,,23.9,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,
108,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-04-19,60.0,70.0,,,,0.0,0.0,0.0,,58,44,,360.0,,,,,,17.9,,,,,,,,,,,,,,,,,,1.0,,,,,
109,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-04-20,100.0,100.0,,,,0.93,0.0,0.0,,47,41,,100.0,,,,,,28.0,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,
110,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-04-21,90.0,100.0,,,,0.0,0.0,0.0,,48,43,,10.0,,,,,,16.1,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,
111,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-04-22,60.0,50.0,,,,0.0,0.0,0.0,,67,44,,310.0,,,,,,19.9,,,,,,,,,,,,1.0,,,,,,1.0,,,,,
112,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-04-23,100.0,100.0,,,,0.0,0.0,0.0,,53,46,,100.0,,,,,,19.9,,,,,,,,,,,,,,,,,,1.0,,,,,
113,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-04-24,100.0,100.0,,,,0.42,0.0,0.0,,62,44,,310.0,,,,,,21.0,,,,,1.0,1.0,1.0,,,,,1.0,,,,,,1.0,,,,,
114,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-04-25,30.0,20.0,,,,0.0,0.0,0.0,,72,50,,310.0,,,,,,23.0,,,,,,,,,,,,,,,,,,1.0,,,,,
115,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-04-26,50.0,50.0,,,,0.0,0.0,0.0,,72,55,,240.0,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,
